Q_ID	Quote text	C_ID	Chapter 	country_region	tag:harm	tag:operational_impact	tag:response_strategy	tag:governance	Contribution id	url
1	…les informations préjudiciables n'ont pas directement entravé l'action humanitaire ; elles ne constituaient pas un obstacle à la fourniture de l'aide. Cependant, elles ont incontestablement eu un impact sur les personnes engagées dans la réponse, en créant une charge de travail extraordinaire consacrée à démentir, expliquer ou minimiser l'impact des informations préjudiciables, provoquant une détresse émotionnelle et même des doutes sur l'organisation, tant au sein de la société que parmi les membres de la Croix-Rouge espagnole, et en sapant la confiance du public, certains donateurs remettant en question l'intégrité de l'organisation.	1	CH1	Spain	Psychologique; Societal 	Efficacité des programmes et redevabilité 			1.1	/fr/reports/wdr26/chapitre-01#diffusion-dinformations-préjudiciables-lors-des-inondations-liées-à-une-dépression-isolée-à-des-niveaux-élevés-à-valence-espagne-en-2024-partie-1-sur-2
2	Les migrants ont également été visés par les informations préjudiciables – ces publications ont inévitablement alimenté la xénophobie – mais dans ce cas, ils étaient davantage utilisés comme un outil pour cibler la Croix-Rouge espagnole.	1	CH1	Spain	Social; Societal				1.1	/fr/reports/wdr26/chapitre-01#diffusion-dinformations-préjudiciables-lors-des-inondations-liées-à-une-dépression-isolée-à-des-niveaux-élevés-à-valence-espagne-en-2024-partie-1-sur-2
7	Se remettre de ce risque réputationnel nécessite bien plus que la gestion de l'image. Cela a exigé un effort à long terme pour renforcer l'indépendance institutionnelle, diversifier la gouvernance et regagner la confiance du public.	8	CH1	Bangladesh	Societal 				1.6	/fr/reports/wdr26/chapitre-01#un-échec-de-communication-et-un-moment-décisif
41	Lors de l'épidémie d'Ebola en Guinée en juillet 2014, le président de la Croix-Rouge de Guinée a averti que les violences contre les volontaires entravaient l'accès aux communautés affectées et perturbaient les inhumations dans la dignité. Ces attaques découlaient d'idées fausses et de la peur entourant Ebola, malgré les efforts déployés pour contrer les rumeurs par la radio, la télévision et l'engagement communautaire.	7	CH1	Guinea	Physique; Psychologique	Sécurité et sûreté du personnel et des volontaires; Contraintes d'accès et risques d'acceptation	Démystification et communication corrective		X.1	/fr/reports/wdr26/chapitre-01#-de-la-diffusion-à-la-communication-bidirectionnelle:~:text=Lors%20de%20l%E2%80%99%C3%A9pid%C3%A9mie%20d%E2%80%99Ebola
45	des chiffres exagérés sur le montant et la valeur de l'aide internationale ont suscité des attentes excessives parmi les personnes affectées et les bénéficiaires, créant des difficultés de gestion.	6	CH1	Islamic Republic of Iran	Financier/économique/lié à la privation; Informationnel	Signaux de besoins et de demande faussés			1.5	/fr/reports/wdr26/chapitre-01#la-qualité-des-données-un-élément-fondamental-dans-la-gestion-des-catastrophes
46	des affirmations exagérées sur le montant de l'aide internationale ont semé le doute parmi les bailleurs potentiels quant à la nécessité de poursuivre les dons et contributions, compromettant ainsi la mobilisation des ressources mondiales et les efforts de collecte de fonds.	6	CH1	Islamic Republic of Iran	Financier/économique/lié à la privation	Efficacité des programmes et redevabilité			1.5	/fr/reports/wdr26/chapitre-01#la-qualité-des-données-un-élément-fondamental-dans-la-gestion-des-catastrophes
54	Des familles de réfugiés ont retardé ou précipité leur retour en Syrie sur la base de rumeurs circulant sur les réseaux sociaux concernant des fermetures de frontières ou de nouveaux programmes d'indemnisation de l'ONU, dont aucun ne pouvait être vérifié.	12	CH1	Lebanon, Syria	Informationnel	Signaux de besoins et de demande faussés			1.10	/fr/reports/wdr26/chapitre-01#limpact-des-informations-préjudiciables-sur-les-civils-réflexions-fondées-sur-deux-exemples
55	L'incertitude économique et la désillusion politique ont créé un terrain fertile pour les boucs émissaires. Les réfugiés étaient dépeints comme favorisés, les communautés d'accueil comme négligées, tandis que la mésinformation circulant dans les groupes WhatsApp attisait le ressentiment.	12	CH1	Lebanon	Social; Societal				1.10	/fr/reports/wdr26/chapitre-01#limpact-des-informations-préjudiciables-sur-les-civils-réflexions-fondées-sur-deux-exemples
56	Dans les deux pays, les enseignants, les militants et les travailleurs humanitaires qui faisaient autrefois office de passerelles d'information hésitent désormais à s'exprimer, craignant les représailles.	12	CH1	Lebanon, Sudan	Psychologique		Messagers de confiance et intermédiaires locaux	Liberté d'expression et droit à l'information	1.10	/fr/reports/wdr26/chapitre-01#limpact-des-informations-préjudiciables-sur-les-civils-réflexions-fondées-sur-deux-exemples
68	Les données de 2024 confirment que les conflits ont été, pour la deuxième année consécutive, le principal déclencheur des coupures d'Internet, avec un arsenal d'outils de plus en plus large déployé pour couper la connectivité – dispositifs de brouillage, coupure de câbles, destruction d'infrastructures et sabotage des fournisseurs d'accès à Internet.	13	CH1	Myanmar	Societal; Informationnel; Numérique/technologique			Liberté d'expression et droit à l'information	1.11	/fr/reports/wdr26/chapitre-01#laction-locale-dans-la-lutte-pour-la-connectivité-humanitaire
92	du Soudan à l'Ukraine, la mésinformation a entravé le passage en sécurité des civils, alimenté la méfiance locale envers les travailleurs humanitaires et conduit à des représailles violentes. Ces exemples soulignent que les coûts des informations préjudiciables ne sont pas abstraits – ils sont immédiats et parfois mortels. Attendre pour réagir, c'est arriver trop tard.	4	CH1	Sudan, Ukraine	Social; Societal; Physique	Sécurité et sûreté du personnel et des volontaires			1.3	/fr/reports/wdr26/chapitre-01#premiers-intervenants-dans-lécosystème-de-linformation-renforcer-la-résilience-face-aux-informations-dans-les-interventions-humanitaires
94	Au Soudan, des rumeurs ciblant des groupes déplacés ont conduit à leur exclusion des marchés, du logement et des emplois informels. Dans certaines zones, des secteurs d'activité entiers – comme la boucherie ou la vente de thé – ont été déstabilisés, la peur et la méfiance réduisant la participation et les revenus. Ces dynamiques ont aggravé les inégalités existantes et attisé les tensions intercommunautaires.	12	CH1	Sudan	Financier/économique/lié à la privation; Social				1.10	/fr/reports/wdr26/chapitre-01#limpact-des-informations-préjudiciables-sur-les-civils-réflexions-fondées-sur-deux-exemples
95	Quand le racisme fait suite à une catastrophe, il perturbe le deuil collectif, isole les survivants et compromet le rétablissement à long terme. Pour les communautés de la diaspora et les demandeurs d'asile, il renforce un sentiment de non-appartenance dans les pays où ils ont cherché refuge ou ont émigré.	10	CH1	Syria, Türkiye	Psychologique; Social				1.8	/fr/reports/wdr26/chapitre-01#racisme-en-ligne-et-santé-mentale-après-une-catastrophe
14	L'espace humanitaire rétrécissant n'est plus seulement une métaphore – c'est un phénomène numérique mesurable aux conséquences opérationnelles directes hors ligne.	21	CH2	Burkina Faso	Societal					
17	Comprendre ce qui favorise la confiance et comment la renforcer et la maintenir est désormais intégré à l'approche stratégique de la Croix-Rouge canadienne, depuis le niveau de gouvernance (conseil d'administration) jusqu'aux équipes de direction exécutive en charge des opérations, des relations avec les parties prenantes, de la philanthropie et des communications.	20	CH2	Canada				Réglementation et cadres de politique publique	2.4	/fr/reports/wdr26/chapitre-02#croix-rouge-canadienne-aller-au-delà-de-limage-de-marque-et-évaluer-la-confiance-face-aux-informations-préjudiciables
28	De nombreuses communautés considèrent que les acteurs humanitaires rechignent à partager ouvertement leurs erreurs ou à reconnaître leurs lacunes – une impression amplifiée par l'exigence de redevabilité en temps réel propre à l'ère numérique.	32	CH2	Ecuador, Mongolia, Zimbabwe	Societal				2.7	/fr/reports/wdr26/chapitre-02#la-confiance-dans-les-organisations-locales-demeure-malgré-lévolution-du-paysage-médiatique
29	même des prévisions scientifiquement exactes échouent souvent à déclencher une action précoce lorsque les messages sont peu fiables, les sources sont mises en doute ou l'information est confuse ou inaccessible.	32	CH2	Albania, Bangladesh, Brazil, Eswatini, Ethiopia, India, Indonesia, Kenya, Malawi, Namibia, Nepal, Nigeria, Philippines, Viet Nam	Psychologique; Societal; Informationnel	Signaux de besoins et de demande faussés 				
30	Une étude menée en Inde a mis en évidence comment les alertes fréquentes contraignaient les personnes dont les moyens de subsistance dépendent du travail journalier à choisir entre tenir compte des alertes d'action précoce ou perdre leurs revenus, rendant la confiance dans les alertes particulièrement cruciale lorsque les moyens de subsistance sont en jeu.	32	CH2	India	Financier/économique/lié à la privation; Psychologique	Signaux de besoins et de demande faussés 				
